Annee_Modele,Kilometrage,Marque,Modele,Puissance_fiscale,Type,TypeDeCarburant,prix
2011,130 000 - 139 999,Opel,Insignia,8 CV,"Voitures, Offre",Diesel,"(110000.0,)"
2014,95 000 - 99 999,Ford,Kuga,8 CV,maarif,Diesel,"(nan,)"
2016,55 000 - 59 999,Mercedes-Benz,Classe C,9 CV,hay_el_fath,Diesel,"(nan,)"
2007,190 000 - 199 999,Kia,Carens,8 CV,ain_chock,Diesel,"(62000.0,)"
2012,160 000 - 169 999,Peugeot,206+,"Voitures, Offre","
",Essence,"(54000.0,)"
2,"-
","Appartements, Offre de location","
","
Sauvegarder l'annonce
","
",jemaa_el_fna,"(nan,)"
2014,150 000 - 159 999,Dacia,Dokker,hay_riad,"Voitures, Offre",Diesel,"(87000.0,)"
2016,100 000 - 109 999,Peugeot,3008,medina_de_rabat,"Voitures, Offre",Diesel,"(155000.0,)"
2009,5 000 - 9 999,Toyota,Yaris,6 CV,"Voitures, Offre",Essence,"(55000.0,)"
2014,10 000 - 14 999,Volkswagen,GOLF 6,8 CV,"Voitures, Offre",Diesel,"(125000.0,)"
5,"364 m²
","Maisons et Villas, Offre","
","
Sauvegarder l'annonce
","
",val_fleuri,"(5000000.0,)"
2007,200 000 - 249 999,Toyota,RAV 4,9 CV,medina,Diesel,"(nan,)"
2011,120 000 - 129 999,Renault,Megane,6 CV,autre_secteur,Diesel,"(99000.0,)"
2010,180 000 - 189 999,Citroen,Berlingo,centre_ville,"Voitures, Offre",Diesel,"(89000.0,)"
2009,170 000 - 179 999,Honda,Accord,9 CV,hay_nahda,Diesel,"(98000.0,)"
2012,110 000 - 119 999,Renault,Clio,el_houda,"Voitures, Offre",Essence,"(58500.0,)"
2011,100 000 - 109 999,Fiat,Punto,7 CV,bourgogne,Essence,"(60000.0,)"
2010,120 000 - 129 999,Mercedes-Benz,Classe B,8 CV,hay_dakhla,Diesel,"(132000.0,)"
2011,140 000 - 149 999,Mercedes-Benz,Classe E,9 CV,massira,Diesel,"(nan,)"
"Voitures, Offre","-
","
Sauvegarder l'annonce
","
","Partager l'annonce
","
","
","(88000.0,)"
2008,70 000 - 74 999,Hyundai,Tucson,11 CV,sidi_maarouf,Essence,"(69000.0,)"
2015,110 000 - 119 999,Volkswagen,Caddy,8 CV,toute_la_ville,Diesel,"(210000.0,)"
2010,160 000 - 169 999,Volkswagen,Passat,8 CV,al_qods,Diesel,"(129000.0,)"
2012,20 000 - 24 999,Renault,12,6 CV,"Voitures, Offre",Diesel,"(7700.0,)"
2007,160 000 - 169 999,Renault,Kangoo,7 CV,sbata,Diesel,"(72000.0,)"
2008,180 000 - 189 999,Citroen,Berlingo,7 CV,autre_secteur,Diesel,"(65000.0,)"
2014,80 000 - 84 999,Volkswagen,GOLF 7,ain_sebaa,"Voitures, Offre",Diesel,"(225000.0,)"
2019,0 - 4 999,Renault,Trafic,6 CV,"Voitures, Offre",Diesel,"(170000.0,)"
2019,140 000 - 149 999,Volkswagen,Tiguan,8 CV,"Voitures, Offre",Diesel,"(205000.0,)"
centre_ville,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(160.0,)"
2014,45 000 - 49 999,Volkswagen,Gol,6 CV,"Voitures, Offre",Essence,"(32500.0,)"
2016,50 000 - 54 999,Renault,Clio,"Voitures, Offre","
",Diesel,"(110000.0,)"
2016,45 000 - 49 999,Dacia,Duster,6 CV,amerchich,Diesel,"(146000.0,)"
2015,100 000 - 109 999,Citroen,C4 Picasso,6 CV,oulfa,Diesel,"(148000.0,)"
1995,40 000 - 44 999,Renault,19,7 CV,"Voitures, Offre",Diesel,"(50000.0,)"
1994,Plus de 500 000,Mercedes-Benz,190,10 CV,"Voitures, Offre",Diesel,"(nan,)"
2009,170 000 - 179 999,Nissan,Navara,10 CV,oasis,Diesel,"(165000.0,)"
2007,120 000 - 129 999,Kia,Picanto,6 CV,marjane,Essence,"(51000.0,)"
2014,30 000 - 34 999,Volkswagen,GOLF 7,centre_ville,"Voitures, Offre",Diesel,"(185000.0,)"
2017,10 000 - 14 999,Porsche,Panamera,wilaya,"Voitures, Offre",Diesel,"(nan,)"
2015,65 000 - 69 999,Mercedes-Benz,Classe C,9 CV,saies,Diesel,"(415000.0,)"
2017,95 000 - 99 999,Ford,Fiesta,6 CV,oulfa,Diesel,"(nan,)"
6,"590 m²
","Maisons et Villas, Offre","
","
Sauvegarder l'annonce
","
",autre_secteur,"(5700000.0,)"
2009,0 - 4 999,Renault,Kangoo,5 CV,agadir_oufella,Diesel,"(nan,)"
2014,130 000 - 139 999,Volvo,S40,6 CV,sidi_maarouf,Diesel,"(nan,)"
"Image & Son, Offre",,"
Sauvegarder l'annonce
","
","Partager l'annonce
","
","
","(400.0,)"
2017,20 000 - 24 999,Nissan,Qashqai,6 CV,toute_la_ville,Diesel,"(210000.0,)"
2017,70 000 - 74 999,Renault,Megane,6 CV,sidi_maarouf,Diesel,"(nan,)"
2007,130 000 - 139 999,Kia,Picanto,6 CV,sbata,Essence,"(nan,)"
2015,70 000 - 74 999,Peugeot,3008,6 CV,sidi_maarouf,Diesel,"(nan,)"
2000,140 000 - 149 999,Renault,Megane,7 CV,"Voitures, Offre",Diesel,"(48000.0,)"
2007,130 000 - 139 999,Suzuki,Alto,5 CV,"Voitures, Offre",Essence,"(29000.0,)"
2010,110 000 - 119 999,Audi,Q7,12 CV,yacoub_el_mansour,Diesel,"(nan,)"
2014,95 000 - 99 999,Renault,Clio,7 CV,route_de_sefrou,Diesel,"(nan,)"
2009,85 000 - 89 999,BMW,Serie 3,11 CV,"Voitures, Offre",Essence,"(115000.0,)"
2008,120 000 - 129 999,BMW,X3,hivernage,"Voitures, Offre",Essence,"(90000.0,)"
2001,150 000 - 159 999,Peugeot,307,8 CV,"Voitures, Offre",Diesel,"(58000.0,)"
2015,0 - 4 999,Volkswagen,Touran,6 CV,agadir_oufella,Diesel,"(nan,)"
2017,35 000 - 39 999,Renault,Clio,drissia,"Voitures, Offre",Diesel,"(nan,)"
2009,300 000 - 349 999,Renault,Kangoo,sidi_maarouf,"Voitures, Offre",Diesel,"(nan,)"
belvedere,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(200.0,)"
2011,140 000 - 149 999,BMW,Serie 5,11 CV,"Voitures, Offre",Diesel,"(250000.0,)"
2008,170 000 - 179 999,BMW,X5,12 CV,sidi_maarouf,Diesel,"(129000.0,)"
2015,40 000 - 44 999,Fiat,Punto,centre_ville,"Voitures, Offre",Diesel,"(79000.0,)"
3,"70 m²
","Locations de vacances, Offre de location","
","
Sauvegarder l'annonce
","
",el_majd,"(300.0,)"
2012,140 000 - 149 999,Renault,Latitude,8 CV,sidi_maarouf,Diesel,"(109000.0,)"
autre_secteur,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Pièces et Accessoires pour véhicules, Offre","(nan,)"
hay_riad,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(nan,)"
2012,160 000 - 169 999,Toyota,RAV 4,hivernage,"Voitures, Offre",Diesel,"(210000.0,)"
hay_salam,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(200.0,)"
2000,10 000 - 14 999,Fiat,Palio,6 CV,"Voitures, Offre",Essence,"(35000.0,)"
3,"60 m²
","Appartements, Offre de location","
","
Sauvegarder l'annonce
","
",targa,"(3400.0,)"
centre_ville,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","(200.0,)"
