Annee_Modele,Kilometrage,Marque,Modele,Puissance_fiscale,Type,TypeDeCarburant,prix
2014,95 000 - 99 999,Jeep,Grand Cherokee,12 CV,hay_riad,Diesel,"(['237000', '237', '000', '237000', '237', '000'],)"
2,"-
","Locations de vacances, Offre de location","
","
Sauvegarder l'annonce
","
",bourgogne,"([],)"
1,"65 m²
","Appartements, Offre de location","
","
Sauvegarder l'annonce
","
",hay_essalam,"(['2500', '2', '500', '2500', '2', '500'],)"
hay_riad,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Services, Offre","([],)"
2019,0 - 4 999,Citroen,Berlingo,6 CV,autre_secteur,Diesel,"([],)"
2011,150 000 - 159 999,Dacia,Logan,6 CV,"Voitures, Offre",Diesel,"(['68000', '68', '000', '68000', '68', '000'],)"
2011,100 000 - 109 999,Volkswagen,GOLF 6,"Voitures, Offre","
",Diesel,"([],)"
2,"85 m²
","Locations de vacances, Offre de location","
","
Sauvegarder l'annonce
","
",gueliz,"(['500', '500', '500', '500'],)"
2010,95 000 - 99 999,Fiat,500,"Voitures, Offre","
",Essence,"(['89000', '89', '000', '89000', '89', '000'],)"
maarif,,"
","
Sauvegarder l'annonce
","
","Partager l'annonce
","Pièces et Accessoires pour véhicules, Offre","(['1600', '1', '600', '1600', '1', '600'],)"
2016,40 000 - 44 999,Jeep,Cherokee,belvedere,"Voitures, Offre",Diesel,"([],)"
2010,150 000 - 159 999,Dacia,Duster,6 CV,"Voitures, Offre",Diesel,"(['95000', '95', '000', '95000', '95', '000'],)"
6,"70 m²
","Appartements, Offre","
","
Sauvegarder l'annonce
","
",saies,"(['200000', '200', '000', '200000', '200', '000'],)"
2009,140 000 - 149 999,Audi,A4,ain_chock,"Voitures, Offre",Diesel,"([],)"
2014,80 000 - 84 999,Land Rover,Range Rover Sport,12 CV,belvedere,Diesel,"([],)"
2006,140 000 - 149 999,Nissan,Murano,20 CV,yacoub_el_mansour,Essence,"(['65000', '65', '000', '65000', '65', '000'],)"
2015,65 000 - 69 999,Maserati,other,12 CV,anfa,Diesel,"(['498000', '498', '000', '498000', '498', '000'],)"
2019,0 - 4 999,Mercedes-Benz,Classe C,9 CV,anfa,Diesel,"([],)"
2012,100 000 - 109 999,Audi,A5,11 CV,anfa,Essence,"(['155000', '155', '000', '155000', '155', '000'],)"
2011,120 000 - 129 999,Audi,Q5,8 CV,belvedere,Diesel,"([],)"
2014,35 000 - 39 999,Peugeot,3008,7 CV,anfa,Diesel,"(['135000', '135', '000', '135000', '135', '000'],)"
1991,25 000 - 29 999,Renault,SUPER 5,5 CV,"Voitures, Offre",Essence,"(['19000', '19', '000', '19000', '19', '000'],)"
3,"90 m²
","Appartements, Offre de location","
","
Sauvegarder l'annonce
","
",hay_riad,"(['12000', '12', '000'],)"
2007,10 000 - 14 999,Kia,Picanto,6 CV,"Voitures, Offre",Essence,"([],)"
